phase,problem_key,problem,encoding,run,seed,final_best_fitness,best_solution,stopped_generation,function_evaluations,elite_size,mutation_probability
main,rastrigin_n5,"Rastrigin function, n=5",real,5,21005,0.0009907990884201467,"[-0.0011864279, -0.0011624205, -0.00089373667, 0.001069824, -0.00054041106]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,6,21006,0.00231822006190896,"[-0.0004021382, 0.0015425749, -0.00092170529, -0.0020551777, 0.0020175797]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,7,21007,0.007774374582012911,"[0.0014348879, 0.00031955349, 0.00029679101, -0.0052331134, 0.0030911338]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,8,21008,0.0005559836403179474,"[0.00011850835, -0.00023137058, -5.4616144e-05, -0.00025781202, -0.0016326192]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,9,21009,0.00212106647929744,"[0.00075295301, -0.00073871101, 0.0018290196, 0.00036479305, 0.0024699043]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,10,21010,0.0017208026462895987,"[0.0027913553, -0.00076265281, -0.00017103688, 0.00044549442, -0.00027004439]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,11,21011,0.00035408863756458686,"[-0.00018569756, -0.0011785039, 1.0816634e-05, 0.00034510215, 0.00049216992]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,12,21012,0.0011416027366095705,"[-0.00020863062, 0.0016379702, -0.0009191915, 0.0014553017, 0.00025500386]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,13,21013,0.0007235768972506662,"[0.0018488659, -5.0167845e-05, 0.00011840371, 0.00042997116, 0.00016591617]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,14,21014,0.001490700921124244,"[0.00057221458, -0.0017941415, 0.00047549964, 0.0011328067, -0.0015678803]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,15,21015,0.0003685873874275103,"[0.00012138797, -0.0011477015, -0.00062533637, -8.4669828e-05, 0.00035736731]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,16,21016,0.029433070054324162,"[-0.00093451952, 0.0031189626, 0.0013851965, 0.011627454, -0.00083696687]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,17,21017,0.0006691563956167101,"[0.0012648782, -0.0012844415, 0.00028874706, 0.00019138694, -5.661591e-05]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,18,21018,0.003362807179421168,"[0.0035811594, -0.0010223324, -0.0014324389, -0.0010117676, -7.3803862e-05]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,19,21019,0.0005421634729287916,"[0.0014030117, -0.00055256433, -0.00060177231, -4.3715842e-05, 0.00030820609]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,20,21020,0.0007796400292860994,"[0.001461235, 0.0012112166, -0.00049560699, 0.00024395381, -0.0001497438]",450,45100,1,0.2
